"TIME","GEO","UNIT","SECTOR","COFOG99","NA_ITEM","Value","Flag and Footnotes"
"1998","Luxembourg","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","4.0",""
"1998","Luxembourg","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","17.1",""
"1998","Hungary","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","5.3",""
"1998","Hungary","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","15.0",""
"1998","Malta","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","4.4",""
"1998","Malta","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","13.4",""
"1998","Netherlands","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","4.6",""
"1998","Netherlands","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","16.1",""
"1998","Austria","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","7.1",""
"1998","Austria","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","20.9",""
"1998","Poland","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure",":",""
"1998","Poland","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure",":",""
"1998","Portugal","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","6.0",""
"1998","Portugal","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","11.9",""
"1998","Romania","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","2.6",""
"1998","Romania","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","11.4",""
"1998","Slovenia","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure",":",""
"1998","Slovenia","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure",":",""
"1998","Slovakia","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","5.6",""
"1998","Slovakia","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","14.4",""
"1998","Finland","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","5.8",""
"1998","Finland","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","21.7",""
"1998","Sweden","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","6.0",""
"1998","Sweden","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","22.1",""
"1998","United Kingdom","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","4.8",""
"1998","United Kingdom","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","13.8",""
"1999","Belgium","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","6.0",""
"1999","Belgium","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","16.9",""
"1999","Bulgaria","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","3.2",""
"1999","Bulgaria","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","12.1",""
"1999","Czech Republic","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","6.6",""
"1999","Czech Republic","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","12.2",""
"1999","Denmark","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","6.9",""
"1999","Denmark","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","22.9",""
"1999","Germany (until 1990 former territory of the FRG)","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","6.1",""
"1999","Germany (until 1990 former territory of the FRG)","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","20.9",""
"1999","Estonia","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","4.9",""
"1999","Estonia","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","11.9",""
"1999","Ireland","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","5.4",""
"1999","Ireland","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","11.2",""
"1999","Greece","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","5.6",""
"1999","Greece","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","12.8",""
"1999","Spain","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","5.1",""
"1999","Spain","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","13.0",""
"1999","France","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","6.9",""
"1999","France","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","21.0",""
"1999","Croatia","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure",":",""
"1999","Croatia","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure",":",""
"1999","Italy","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","5.6",""
"1999","Italy","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","17.3",""
"1999","Cyprus","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure",":",""
"1999","Cyprus","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure",":",""
"1999","Latvia","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","3.8",""
"1999","Latvia","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","15.2",""
"1999","Lithuania","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","5.9",""
"1999","Lithuania","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","13.2",""
"1999","Luxembourg","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","4.0",""
"1999","Luxembourg","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","15.8",""
"1999","Hungary","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","5.1",""
"1999","Hungary","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","15.1",""
"1999","Malta","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","4.4",""
"1999","Malta","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","13.3",""
"1999","Netherlands","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","4.6",""
"1999","Netherlands","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","15.5",""
"1999","Austria","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","7.3",""
"1999","Austria","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","21.1",""
"1999","Poland","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure",":",""
"1999","Poland","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure",":",""
"1999","Portugal","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","6.0",""
"1999","Portugal","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","11.7",""
"1999","Romania","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","3.8",""
"1999","Romania","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","11.3",""
"1999","Slovenia","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","6.4",""
"1999","Slovenia","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","16.6",""
"1999","Slovakia","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","5.3",""
"1999","Slovakia","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","14.9",""
"1999","Finland","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","5.8",""
"1999","Finland","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","21.1",""
"1999","Sweden","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","6.0",""
"1999","Sweden","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","22.5",""
"1999","United Kingdom","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","5.0",""
"1999","United Kingdom","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","13.7",""
"2000","Belgium","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","6.0",""
"2000","Belgium","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","16.4",""
"2000","Bulgaria","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","3.9",""
"2000","Bulgaria","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","12.8",""
"2000","Czech Republic","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","6.4",""
"2000","Czech Republic","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","12.4",""
"2000","Denmark","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","6.7",""
"2000","Denmark","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","22.3",""
